MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemod/Add,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
0,5,141.0,31770,1,1,0,3,0,0,0,15,2,2,0,2,6,5,1960,1960,3,0,3,10,4,112,3,3,1,3,4,4,4,639,1,0,441,1080,1,2,1,4,1656,0,0,1656,1,0,1,0,3,1,3,7,8,2,4,1,1960,3,2,528,3,3,1,210,62,0,0,0,0,0,0,1,0,5,2010,9,4,215000
0,4,80.0,11622,1,1,3,3,0,4,0,15,1,2,0,2,5,6,1961,1961,1,0,13,14,3,0,3,3,1,3,3,1,3,468,2,144,270,882,1,3,1,4,896,0,0,896,0,0,1,0,2,1,3,5,8,0,0,1,1961,1,1,730,3,3,2,140,0,0,0,120,0,0,3,1,0,6,2010,9,4,105000
0,5,81.0,14267,1,1,0,3,0,0,0,15,2,2,0,2,6,6,1958,1958,3,0,14,15,1,108,3,3,1,3,3,1,5,923,1,0,406,1329,1,3,1,4,1329,0,0,1329,0,0,1,1,3,1,4,6,8,0,0,1,1958,1,1,312,3,3,2,393,36,0,0,0,0,0,0,0,12500,6,2010,9,4,172000
0,5,93.0,11160,1,1,3,3,0,0,0,15,2,2,0,2,7,5,1968,1968,3,0,3,3,3,0,4,3,1,3,3,1,5,1065,1,0,1045,2110,1,5,1,4,2110,0,0,2110,1,0,2,1,3,1,5,8,8,2,3,1,1968,3,2,522,3,3,2,0,0,0,0,0,0,0,0,1,0,4,2010,9,4,244000
5,5,74.0,13830,1,1,0,3,0,4,0,8,2,2,0,5,5,5,1997,1998,1,0,13,14,3,0,3,3,2,4,3,1,6,791,1,0,137,928,1,4,1,4,928,701,0,1629,0,0,2,1,3,1,3,6,8,1,3,1,1997,3,2,482,3,3,2,212,34,0,0,0,0,0,3,1,0,3,2010,9,4,189900
5,5,78.0,9978,1,1,0,3,0,4,0,8,2,2,0,5,6,6,1998,1998,1,0,13,14,1,20,3,3,2,3,3,1,6,602,1,0,324,926,1,5,1,4,926,678,0,1604,0,0,2,1,3,1,4,7,8,1,4,1,1998,3,2,470,3,3,2,360,36,0,0,0,0,0,0,1,0,6,2010,9,4,195500
11,5,41.0,4920,1,1,3,3,0,4,0,25,2,2,4,2,8,5,2001,2001,1,0,5,5,3,0,4,3,2,4,3,2,6,616,1,0,722,1338,1,5,1,4,1338,0,0,1338,1,0,2,0,2,1,4,6,8,0,0,1,2001,3,2,582,3,3,2,0,0,170,0,0,0,0,0,1,0,4,2010,9,4,213500
11,5,43.0,5005,1,1,0,1,0,4,0,25,2,2,4,2,8,5,1992,1992,1,0,6,6,3,0,4,3,2,4,3,1,5,263,1,0,1017,1280,1,5,1,4,1280,0,0,1280,0,0,2,0,2,1,4,5,8,0,0,1,1992,2,2,506,3,3,2,0,82,0,0,144,0,0,0,1,0,1,2010,9,4,191500
11,5,39.0,5389,1,1,0,3,0,4,0,25,2,2,4,2,8,5,1995,1996,1,0,5,5,3,0,4,3,2,4,3,1,6,1180,1,0,415,1595,1,5,1,4,1616,0,0,1616,1,0,2,0,2,1,4,5,8,1,3,1,1995,2,2,608,3,3,2,237,152,0,0,0,0,0,0,1,0,3,2010,9,4,236500
5,5,60.0,7500,1,1,3,3,0,4,0,8,2,2,0,5,7,5,1999,1999,1,0,13,14,3,0,3,3,2,3,3,1,1,0,1,0,994,994,1,4,1,4,1028,776,0,1804,0,0,2,1,3,1,4,7,8,1,3,1,1999,3,2,442,3,3,2,140,60,0,0,0,0,0,0,1,0,6,2010,9,4,189000
